epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,795.037,1.62059,3.11364,1.50267,1.97784,0,0.87041,0.12752,0.19567,0.08085,0.34907,0.04173,0.00418,0.00093,2.23577,3.34269,1.60158,2.17171,0,0.000438703,0.000438703,0.000438703
72,806.1,1.65958,3.13795,1.46682,1.97292,0,0.86524,0.12611,0.19733,0.07992,0.34794,0.03329,0.00368,0.00084,2.21719,3.30022,1.60648,2.15,0,0.000424556,0.000424556,0.000424556
73,817.198,1.60718,3.11758,1.35128,1.94277,0,0.87501,0.12986,0.19623,0.08853,0.35025,0.04501,0.01456,0.00221,2.06013,3.12225,1.55815,2.0125,0,0.000410409,0.000410409,0.000410409
74,828.274,1.64567,3.20742,1.45988,1.98533,0,0.8808,0.13502,0.19813,0.09443,0.35285,0.04594,0.00695,0.00157,2.02805,3.1161,1.53061,2.02243,0,0.000396262,0.000396262,0.000396262
75,839.385,1.6201,3.13673,1.43245,1.98724,0,0.86217,0.14065,0.19985,0.08911,0.68605,0.04407,0.00521,0.00119,2.06245,3.22322,1.5615,2.08194,0,0.000382115,0.000382115,0.000382115
76,850.503,1.6591,3.10458,1.35639,2.00813,0,0.87082,0.13643,0.20895,0.0938,0.68181,0.04594,0.00421,0.00099,2.05915,3.23536,1.55422,2.0876,0,0.000367967,0.000367967,0.000367967
77,861.731,1.59222,3.08936,1.34226,1.92882,0,0.86697,0.14346,0.21525,0.10545,0.35015,0.04594,0.00449,0.00097,2.02055,3.09229,1.51067,2.02007,0,0.00035382,0.00035382,0.00035382
78,873,1.56487,3.08872,1.3677,1.917,0,0.85996,0.15049,0.22133,0.10759,0.69036,0.05204,0.00647,0.00143,2.04364,3.04876,1.50451,2.0159,0,0.000339673,0.000339673,0.000339673
79,884.378,1.61828,3.12895,1.48301,1.96547,0,0.86915,0.14509,0.23569,0.11246,0.69463,0.05438,0.00989,0.00217,2.10242,3.0996,1.5265,2.0484,0,0.000325526,0.000325526,0.000325526
80,895.57,1.6337,3.07427,1.44562,1.97089,0,0.85473,0.13231,0.25489,0.1273,0.68747,0.04829,0.00608,0.00122,2.12701,3.21911,1.59189,2.09362,0,0.000311379,0.000311379,0.000311379
81,906.637,1.6133,3.06027,1.35117,1.94875,0,0.8424,0.13315,0.21557,0.09858,0.01508,0.13012,0.01145,0.00232,2.11968,3.22279,1.5855,2.08658,0,0.000297232,0.000297232,0.000297232
82,917.783,1.58237,3.05476,1.34416,1.9235,0,0.87218,0.13596,0.19438,0.09391,0.01869,0.12319,0.01001,0.00161,2.01451,3.13696,1.50207,1.99267,0,0.000283085,0.000283085,0.000283085
83,928.927,1.62283,3.03851,1.36147,1.95491,0,0.87407,0.13502,0.19074,0.09225,0.0183,0.14043,0.0108,0.00187,2.07017,3.10966,1.49912,2.02623,0,0.000268938,0.000268938,0.000268938
84,940.24,1.61498,3.1051,1.37894,1.93552,0,0.87732,0.13766,0.2003,0.09529,0.35671,0.07584,0.01285,0.00271,2.094,3.10369,1.49456,2.04897,0,0.000254791,0.000254791,0.000254791
85,951.472,1.62408,3.03319,1.35347,1.97175,0,0.86015,0.13643,0.19731,0.09149,0.69452,0.05016,0.00817,0.00169,2.10246,3.1775,1.5238,2.08828,0,0.000240644,0.000240644,0.000240644
