epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,4940.8,0.07399,0.17734,0.85845,1.13478,0,0.83474,0.74336,0.77306,0.61712,0.78302,0.74731,0.74885,0.56495,0.08513,0.18177,0.96046,0.93475,0,0.000812,0.000812,0.000812
62,4999.27,0.07357,0.17277,0.88788,1.13555,0,0.78957,0.78366,0.79409,0.63624,0.79882,0.74159,0.76579,0.58375,0.08045,0.17306,0.94767,0.8904,0,0.0007922,0.0007922,0.0007922
63,5057.56,0.0725,0.17578,0.86979,1.13384,0,0.81959,0.73972,0.75241,0.60107,0.8137,0.73441,0.74232,0.56997,0.0823,0.1836,0.99018,0.92148,0,0.0007724,0.0007724,0.0007724
64,5115.67,0.07283,0.1753,0.89339,1.1285,0,0.79564,0.76106,0.78375,0.62937,0.81157,0.74707,0.76152,0.5791,0.08224,0.18048,0.98423,0.91539,0,0.0007526,0.0007526,0.0007526
65,5173.57,0.07185,0.17384,0.85811,1.12865,0,0.85658,0.70973,0.75409,0.59101,0.80545,0.75221,0.74632,0.55501,0.08475,0.19365,0.97579,0.93139,0,0.0007328,0.0007328,0.0007328
66,5231.48,0.07096,0.1756,0.84673,1.1304,0,0.8281,0.75929,0.76844,0.61703,0.81662,0.74087,0.75454,0.5617,0.08675,0.18407,0.97042,0.92941,0,0.000713,0.000713,0.000713
67,5289.17,0.07148,0.16633,0.83933,1.12347,0,0.81068,0.73982,0.77273,0.62175,0.805,0.73068,0.74566,0.56291,0.08161,0.18386,0.97425,0.91993,0,0.0006932,0.0006932,0.0006932
68,5346.95,0.06987,0.17032,0.83085,1.1174,0,0.79283,0.78761,0.78159,0.63502,0.80342,0.74505,0.76013,0.58363,0.08002,0.17858,0.93399,0.89297,0,0.0006734,0.0006734,0.0006734
69,5404.92,0.07116,0.1754,0.83753,1.12711,0,0.82868,0.73097,0.74839,0.6094,0.8314,0.72441,0.73558,0.56875,0.08166,0.18421,0.97372,0.90193,0,0.0006536,0.0006536,0.0006536
70,5462.86,0.0721,0.17501,0.86686,1.13074,0,0.81237,0.75929,0.78386,0.63113,0.80529,0.75221,0.76133,0.58726,0.08162,0.17231,0.94686,0.89147,0,0.0006338,0.0006338,0.0006338
71,5520.82,0.06909,0.16485,0.82533,1.11161,0,0.83301,0.72743,0.75515,0.60944,0.83372,0.73659,0.7457,0.56736,0.08195,0.17734,0.95296,0.91399,0,0.000614,0.000614,0.000614
72,5578.79,0.06996,0.17031,0.83664,1.1232,0,0.81974,0.77268,0.78193,0.6294,0.82566,0.75398,0.76308,0.57798,0.08045,0.17109,0.91359,0.90132,0,0.0005942,0.0005942,0.0005942
73,5636.47,0.06888,0.17171,0.82722,1.10876,0,0.82961,0.76106,0.77681,0.61982,0.82231,0.75356,0.75556,0.57442,0.08413,0.18198,0.94753,0.91323,0,0.0005744,0.0005744,0.0005744
74,5694.31,0.06753,0.16385,0.81587,1.10748,0,0.8039,0.78363,0.78263,0.63768,0.80474,0.75863,0.75311,0.57559,0.0771,0.17166,0.8993,0.88,0,0.0005546,0.0005546,0.0005546
75,5752.4,0.06865,0.16246,0.82763,1.11447,0,0.81986,0.75721,0.76549,0.61408,0.83295,0.72366,0.75143,0.57281,0.08042,0.1751,0.91974,0.89764,0,0.0005348,0.0005348,0.0005348
76,5810.52,0.06862,0.16163,0.79467,1.10584,0,0.82552,0.72015,0.76522,0.61751,0.82059,0.7205,0.74701,0.57379,0.08161,0.17811,0.93137,0.89661,0,0.000515,0.000515,0.000515
77,5868.33,0.06817,0.16806,0.81934,1.11109,0,0.86372,0.73274,0.77493,0.62359,0.86164,0.73097,0.7631,0.57428,0.08037,0.17213,0.92814,0.89909,0,0.0004952,0.0004952,0.0004952
78,5926.28,0.06774,0.16227,0.78845,1.11018,0,0.84828,0.75752,0.78292,0.63396,0.84384,0.74867,0.75293,0.58052,0.08022,0.17078,0.87232,0.89616,0,0.0004754,0.0004754,0.0004754
79,5984.07,0.06753,0.1697,0.78963,1.11171,0,0.84166,0.75266,0.78897,0.63513,0.85135,0.75044,0.77104,0.58824,0.07985,0.16997,0.91365,0.89528,0,0.0004556,0.0004556,0.0004556
80,6042.13,0.06676,0.15978,0.78859,1.09701,0,0.85315,0.76091,0.79309,0.64042,0.845,0.75262,0.76939,0.57709,0.07795,0.17913,0.89361,0.87871,0,0.0004358,0.0004358,0.0004358
81,6100.97,0.06621,0.16221,0.78306,1.09215,0,0.8416,0.74336,0.77937,0.63089,0.85054,0.72518,0.75791,0.5697,0.07986,0.1722,0.90613,0.89059,0,0.000416,0.000416,0.000416
82,6159.77,0.0659,0.15965,0.78009,1.09492,0,0.84685,0.74382,0.77174,0.62863,0.83295,0.73982,0.75583,0.58107,0.08021,0.17175,0.90641,0.8904,0,0.0003962,0.0003962,0.0003962
83,6218.78,0.06558,0.16972,0.77971,1.09925,0,0.82244,0.77064,0.77354,0.63392,0.82559,0.75221,0.76692,0.58708,0.07701,0.17238,0.87184,0.87398,0,0.0003764,0.0003764,0.0003764
84,6277.63,0.06471,0.15891,0.75331,1.09204,0,0.83867,0.76637,0.79122,0.63679,0.83816,0.76082,0.77665,0.58731,0.07934,0.17044,0.87033,0.87814,0,0.0003566,0.0003566,0.0003566
